admin_country,admin1_name,adm1_code,city_count,sum_pop_max
United States of America,Alaska,USA-3563,84,468175.0
United States of America,Texas,USA-3536,62,19923152.0
Australia,New South Wales,AUS-2654,55,6417828.0
Australia,Queensland,AUS-2657,53,3392299.0
Russia,Sakha (Yakutia),RUS-2612,49,520404.0
United States of America,California,USA-3521,48,37536361.0
Brazil,São Paulo,BRA-1311,47,32392787.0
Canada,Ontario,CAN-682,47,9777494.0
Brazil,Minas Gerais,BRA-601,43,10576891.0
Australia,Western Australia,AUS-2651,43,1886370.0
China,Heilongjiang,CHN-1839,41,15785866.0
Canada,Québec,CAN-683,40,5128738.0
United States of America,Florida,USA-3542,38,19259743.0
Antarctica,Antarctica,ATA+00?,37,3516.0
Argentina,Buenos Aires,ARG-1295,33,2954242.0
Brazil,Rio Grande do Sul,BRA-612,31,8160680.0
Brazil,Bahia,BRA-624,31,6300030.0
Canada,British Columbia,CAN-633,31,3426424.0
Russia,Krasnoyarsk,RUS-2603,31,2041658.0
India,Uttar Pradesh,IND-3253,29,20769513.0
China,Inner Mongol,CHN-1838,28,7888641.0
Australia,Victoria,AUS-2656,26,5285381.0
Brazil,Pará,BRA-594,26,3625817.0
Australia,South Australia,AUS-2655,25,1297804.0
China,Jilin,CHN-1828,24,9956160.0
China,Shandong,CHN-1814,22,24693646.0
United States of America,Michigan,USA-3562,22,6405250.0
Canada,Alberta,CAN-632,22,2530765.0
Canada,Nunavut,CAN-634,22,26766.0
Canada,Newfoundland and Labrador,CAN-686,21,197897.0
India,Maharashtra,IND-2447,20,38424005.0
United States of America,Illinois,USA-3546,20,12387481.0
Brazil,Paraná,BRA-613,20,6507986.0
Brazil,Maranhão,BRA-593,20,2270808.0
Russia,Irkutsk,RUS-2602,20,1653782.0
Canada,Manitoba,CAN-630,20,731999.0
Pakistan,Punjab,PAK-1113,19,18429970.0
India,Tamil Nadu,IND-3263,19,15579391.0
United States of America,Arizona,USA-3520,19,6428412.0
Brazil,Ceará,BRA-621,19,4840882.0
Brazil,Santa Catarina,BRA-614,19,3905688.0
Russia,Sverdlovsk,RUS-2386,19,2731981.0
Bolivia,Santa Cruz,BOL-1940,19,2356033.0
China,Guangdong,CHN-1180,18,32287998.0
China,Liaoning,CHN-1813,18,21264786.0
China,Hubei,CHN-1807,18,16241421.0
United States of America,Minnesota,USA-3514,18,4186704.0
Brazil,Goiás,BRA-1294,18,3111402.0
United States of America,Wisconsin,USA-3553,18,3105571.0
United States of America,Oregon,USA-3525,18,2914913.0
